kodehs,label,tahun,nilai_nasional_usd,nilai_kalsel_usd,peringkat_nasional,peringkat_kalsel,top10_nasional,top10_kalsel
27,[27] Mineral fuels,2025,45112846505.0,10506300715.0,1,1,true,true
15,[15] Animal or vegetable fats and oils,2025,34361361154.0,1177233432.0,2,2,true,true
72,[72] Iron and steel,2025,27970898351.0,0.0,3,,true,false
85,[85] Electrical machinery and equipment and parts thereof,2025,19192973645.0,0.0,4,,true,false
87,[87] Vehicles and accessories thereof,2025,12177079959.0,0.0,5,,true,false
71,[71] Precious metals and jewellery/precious stones,2025,11665443857.0,0.0,6,,true,false
75,[75] Nickel and articles thereof,2025,9732146716.0,0.0,7,,true,false
38,[38] Miscellaneous chemical products,2025,9497822116.0,116680229.0,8,3,true,true
84,[84] Machinery and mechanical appliances and part thereof,2025,8163493645.0,0.0,9,,true,false
64,[64] Footwear,2025,7975725085.0,0.0,10,,true,false
40,[40] Rubber and articles thereof,2025,5820084488.0,260901.0,11,9,false,true
26,"[26] Ores, slag, and ash",2025,5043224248.0,0.0,12,,false,false
48,"[48] Paper, paperboard, and articles thereof",2025,4570254765.0,0.0,13,,false,false
28,[28] Inorganic chemicals,2025,4566395525.0,0.0,14,,false,false
61,[61] Articles of apparel and clothing accessories (knitted),2025,4459598018.0,0.0,15,,false,false
29,[29] Organic chemicals,2025,4393510375.0,0.0,16,,false,false
62,[62] Articles of apparel and clothing accessories (not knitted),2025,4245433398.0,0.0,17,,false,false
03,"[03] Fish, crustaceans and mollusca",2025,4240791223.0,885187.0,18,8,false,true
44,[44] Wood and articles of wood,2025,4061806928.0,3757043.0,19,6,false,true
74,[74] Copper and articles thereof,2025,3990612603.0,0.0,20,,false,false
47,[47] Pulp of wood ,2025,3598534099.0,0.0,21,,false,false
18,[18] Cocoa and cocoa preparations,2025,3597765859.0,0.0,22,,false,false
09,"[09] Coffee, tea, and spices",2025,3424519402.0,0.0,23,,false,false
39,[39] Plastics and articles thereof,2025,2723827310.0,0.0,24,,false,false
94,"[94] Furniture, lamps and lighting fittings",2025,2390683645.0,0.0,25,,false,false
24,[24] Tobacco and cigarrete,2025,2311051486.0,0.0,26,,false,false
76,[76] Aluminium and articles thereof,2025,2182077650.0,0.0,27,,false,false
21,[21] Miscellaneous edible preparations,2025,1972384707.0,0.0,28,,false,false
73,[73] Articles of iron or steel,2025,1793856456.0,0.0,29,,false,false
80,[80] Tin and articles thereof,2025,1783074611.0,0.0,30,,false,false
19,[19] Preparations of cereals and flour,2025,1690514866.0,0.0,31,,false,false
34,[34] Soap and washing preparations,2025,1631633036.0,0.0,32,,false,false
55,[55] Man-made staple fibres,2025,1607180895.0,0.0,33,,false,false
16,"[16] Preparations of meat, fish, crustaceans, and mollusca",2025,1529840631.0,2343092.0,34,7,false,true
42,[42] Articles of leather,2025,1440469549.0,0.0,35,,false,false
08,[08] Edible fruits and nuts,2025,1440361815.0,0.0,36,,false,false
33,"[33] Essential oils and resinoids, perfumery, and cosmetics ",2025,1149805855.0,0.0,37,,false,false
89,"[89] Ships, boats and floating structures",2025,1097377350.0,0.0,38,,false,false
95,"[95] Toys, games and sports requisites",2025,1015617403.0,0.0,39,,false,false
23,[23] Residues and waste from the food industries,2025,1003294699.0,8840545.0,40,5,false,true
90,"[90] Optical, photographic, cinematographic, medical instruments",2025,976752489.0,0.0,41,,false,false
31,[31] Fertilisers,2025,855758112.0,0.0,42,,false,false
30,[30] Pharmaceutical products,2025,742761474.0,0.0,43,,false,false
92,"[92] Musical instruments, parts and accessories of",2025,640708113.0,0.0,44,,false,false
14,[14] Vegetable plaiting materials,2025,634109483.0,0.0,45,,false,false
54,[54] Man-made filaments,2025,611551258.0,0.0,46,,false,false
25,"[25] Salt, sulphur, stones, and cements",2025,610429090.0,11130421.0,47,4,false,true
04,"[04] Milk, butter, and egg",2025,561493194.0,0.0,48,,false,false
12,[12] Oil seeds and oleaginous fruits,2025,530824029.0,0.0,49,,false,false
20,"[20] Preparations of vegetables, fruits, and nuts",2025,519373899.0,0.0,50,,false,false
70,[70] Glass and glassware,2025,479186721.0,0.0,51,,false,false
17,[17] Sugars and sugar confectionery,2025,468605481.0,0.0,52,,false,false
52,[52] Cotton,2025,461487333.0,0.0,53,,false,false
32,[32] Tanning or dyeing extracts,2025,453210405.0,0.0,54,,false,false
96,[96] Miscellaneous manufactured articles,2025,307490499.0,0.0,55,,false,false
22,"[22] Beverages, spirits, and vinegar",2025,307196509.0,0.0,56,,false,false
69,[69] Ceramic products,2025,282217286.0,0.0,57,,false,false
81,[81] Other base metals,2025,261099312.0,0.0,58,,false,false
68,"[68] Articles of stone, cement, asbestos, mica or similar materials",2025,233118322.0,0.0,59,,false,false
67,"[67] Prepared feathers and down, artificial flowers, and articles of human hair",2025,223176423.0,0.0,60,,false,false
13,"[13] Lac, gums, and resins ",2025,194688904.0,0.0,61,,false,false
56,"[56] Felt and nonwovens, special yarns, and twine",2025,169277020.0,0.0,62,,false,false
88,"[88] Aircraft, spacecraft, and parts thereof",2025,164142618.0,0.0,63,,false,false
63,[63] Other made up textile articles,2025,132279549.0,0.0,64,,false,false
65,[65] Headgear and parts thereof,2025,128168754.0,0.0,65,,false,false
83,[83] Miscellaneous articles of base metal,2025,120374462.0,0.0,66,,false,false
60,[60] Knitted or crocheted fabrics,2025,120092679.0,0.0,67,,false,false
07,[07] Vegetables,2025,110280068.0,0.0,68,,false,false
11,[11] Products of the milling industry,2025,96174574.0,0.0,69,,false,false
46,[46] Manufactures of plaiting materials,2025,93569871.0,108804.0,70,10,false,true
82,"[82] Tools, implements of base metal",2025,90098135.0,0.0,71,,false,false
78,[78] Lead and articles thereof,2025,81196803.0,0.0,72,,false,false
41,[41] Raw hides and skins (other than furskins) and leather,2025,80238713.0,0.0,73,,false,false
59,"[59] Coated, covered or laminated textile fabrics",2025,79081749.0,0.0,74,,false,false
35,[35] Glues and enzymes,2025,73948260.0,0.0,75,,false,false
05,[05] Products of animals,2025,44055091.0,0.0,76,,false,false
86,[86] Railway or tramway locomotives and parts thereof,2025,43981659.0,0.0,77,,false,false
79,[79] Zinc and articles thereof,2025,42777979.0,0.0,78,,false,false
57,[57] Carpets and other textile floor coverings,2025,42564920.0,0.0,79,,false,false
58,[58] Special woven fabrics,2025,42165419.0,0.0,80,,false,false
49,[49] Products of printing industry,2025,35434020.0,0.0,81,,false,false
91,[91] Clocks and watches and parts thereof,2025,23174856.0,0.0,82,,false,false
06,[06] Live trees and cut flowers,2025,22397104.0,0.0,83,,false,false
99,"[99] Software, digital product, and parcel goods",2025,14499396.0,0.0,84,,false,false
02,[02] Meat and edible meat offal,2025,13322435.0,0.0,85,,false,false
53,[53] Other vegetable textile fibres,2025,11785124.0,0.0,86,,false,false
97,"[97] Works of art, collectors\"" pieces and antiques",2025,10297311.0,0.0,87,,false,false
93,[93] Arms and ammunition and parts thereof,2025,9358908.0,0.0,88,,false,false
36,"[36] Explosives, matches, and fireworks",2025,8984107.0,0.0,89,,false,false
01,[01] Live animals,2025,8351060.0,0.0,90,,false,false
10,[10] Cereals,2025,5658273.0,0.0,91,,false,false
98,[98] Incompletely knocked down motor vehicles and their components,2025,4592435.0,0.0,92,,false,false
66,"[66] Umbrellas, sticks, and parts thereof",2025,2919181.0,0.0,93,,false,false
37,[37] Photographic or cinematographic goods,2025,1595468.0,0.0,94,,false,false
43,"[43] Furskins, artificial fur, and manufactures thereof",2025,807283.0,0.0,95,,false,false
51,"[51] Wool, fine or coarse animal hair",2025,556914.0,0.0,96,,false,false
45,[45] Cork and articles of cork,2025,66219.0,0.0,97,,false,false
50,[50] Silk,2025,63238.0,0.0,98,,false,false
