provinsi,sektor_kode,sektor,nilai,bulan
Kepulauan Riau,J,Informasi dan Komunikasi,98167027558,2026-03
Kepulauan Riau,K,Jasa Keuangan dan Asuransi,422158192270,2026-03
Kepulauan Riau,L,Real Estat,3040712017374,2026-03
Kepulauan Riau,MN,Jasa Perusahaan,627581749255,2026-03
Kepulauan Riau,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",30424558639,2026-03
Kepulauan Riau,P,Jasa Pendidikan,264261223655,2026-03
Kepulauan Riau,Q,Jasa Kesehatan dan Kegiatan Sosial,273700494989,2026-03
Kepulauan Riau,RSTU,Jasa Lainnya,1104008907763,2026-03
Kepulauan Riau,RT,Rumah Tangga (konsumsi),24752343117654,2026-03
Lainnya,A,"Pertanian, Kehutanan, dan Perikanan",2290636393363,2026-03
Lainnya,B,Pertambangan dan Penggalian,25198216577330,2026-03
Lainnya,C,Industri Pengolahan,43499671402953,2026-03
Lainnya,D,Pengadaan Listrik dan Gas,14076756675484,2026-03
Lainnya,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",260047785725,2026-03
Lainnya,F,Konstruksi,1024541320533,2026-03
Lainnya,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,29540454936576,2026-03
Lainnya,H,Transportasi dan Pergudangan,3843972446701,2026-03
Lainnya,I,Penyediaan Akomodasi dan Makan Minum,556152140963,2026-03
Lainnya,J,Informasi dan Komunikasi,628737911648,2026-03
Lainnya,K,Jasa Keuangan dan Asuransi,8289848763166,2026-03
Lainnya,L,Real Estat,1548264261221,2026-03
Lainnya,MN,Jasa Perusahaan,2704022886261,2026-03
Lainnya,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",113916607753588,2026-03
Lainnya,Q,Jasa Kesehatan dan Kegiatan Sosial,485700701182,2026-03
Lainnya,RSTU,Jasa Lainnya,132672389453,2026-03
Lainnya,RT,Rumah Tangga (konsumsi),1467268071531,2026-03
Lampung,A,"Pertanian, Kehutanan, dan Perikanan",12257725223484,2026-03
Lampung,B,Pertambangan dan Penggalian,236539123955,2026-03
Lampung,C,Industri Pengolahan,5369209489253,2026-03
Lampung,D,Pengadaan Listrik dan Gas,195549764703,2026-03
Lampung,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",18954858886,2026-03
Lampung,F,Konstruksi,776165945851,2026-03
Lampung,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,16967457451425,2026-03
Lampung,H,Transportasi dan Pergudangan,1921797692305,2026-03
Lampung,I,Penyediaan Akomodasi dan Makan Minum,1360486297419,2026-03
Lampung,J,Informasi dan Komunikasi,43311424927,2026-03
Lampung,K,Jasa Keuangan dan Asuransi,5591659426082,2026-03
Lampung,L,Real Estat,796837384084,2026-03
Lampung,MN,Jasa Perusahaan,528885883987,2026-03
Lampung,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",82397663373,2026-03
Lampung,P,Jasa Pendidikan,412378932266,2026-03
Lampung,Q,Jasa Kesehatan dan Kegiatan Sosial,909828573958,2026-03
Lampung,RSTU,Jasa Lainnya,1388643972572,2026-03
Lampung,RT,Rumah Tangga (konsumsi),25136867540342,2026-03
Maluku,A,"Pertanian, Kehutanan, dan Perikanan",660433951368,2026-03
Maluku,B,Pertambangan dan Penggalian,14447726906,2026-03
Maluku,C,Industri Pengolahan,214024827985,2026-03
Maluku,D,Pengadaan Listrik dan Gas,5351902781,2026-03
Maluku,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",8292156143,2026-03
Maluku,F,Konstruksi,276181183194,2026-03
Maluku,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,3944455242744,2026-03
Maluku,H,Transportasi dan Pergudangan,363836799610,2026-03
Maluku,I,Penyediaan Akomodasi dan Makan Minum,402455668018,2026-03
Maluku,J,Informasi dan Komunikasi,9420382821,2026-03
Maluku,K,Jasa Keuangan dan Asuransi,17696961411,2026-03
Maluku,L,Real Estat,77895935370,2026-03
Maluku,MN,Jasa Perusahaan,130769247522,2026-03
Maluku,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",17607701648,2026-03
Maluku,P,Jasa Pendidikan,5035899953,2026-03
Maluku,Q,Jasa Kesehatan dan Kegiatan Sosial,29342835445,2026-03
Maluku,RSTU,Jasa Lainnya,411850980245,2026-03
Maluku,RT,Rumah Tangga (konsumsi),11511234164345,2026-03
Maluku Utara,A,"Pertanian, Kehutanan, dan Perikanan",251500489750,2026-03
Maluku Utara,B,Pertambangan dan Penggalian,1972585155182,2026-03
Maluku Utara,C,Industri Pengolahan,241814449942,2026-03
Maluku Utara,D,Pengadaan Listrik dan Gas,5664717983,2026-03
Maluku Utara,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",3638091678,2026-03
Maluku Utara,F,Konstruksi,89644693118,2026-03
Maluku Utara,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,2372184779218,2026-03
Maluku Utara,H,Transportasi dan Pergudangan,160079550922,2026-03
Maluku Utara,I,Penyediaan Akomodasi dan Makan Minum,362435676489,2026-03
Maluku Utara,J,Informasi dan Komunikasi,3609661601,2026-03
Maluku Utara,K,Jasa Keuangan dan Asuransi,13230456906,2026-03
Maluku Utara,L,Real Estat,33553837166,2026-03
Maluku Utara,MN,Jasa Perusahaan,39455072173,2026-03
Maluku Utara,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",29691267,2026-03
Maluku Utara,P,Jasa Pendidikan,3054503529,2026-03
Maluku Utara,Q,Jasa Kesehatan dan Kegiatan Sosial,6213818365,2026-03
Maluku Utara,RSTU,Jasa Lainnya,448569656423,2026-03
Maluku Utara,RT,Rumah Tangga (konsumsi),10440440232907,2026-03
Nusa Tenggara Barat,A,"Pertanian, Kehutanan, dan Perikanan",6266800602415,2026-03
Nusa Tenggara Barat,B,Pertambangan dan Penggalian,16912559462998,2026-03
Nusa Tenggara Barat,C,Industri Pengolahan,1319298033182,2026-03
Nusa Tenggara Barat,D,Pengadaan Listrik dan Gas,5464616778,2026-03
Nusa Tenggara Barat,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",102559130913,2026-03
Nusa Tenggara Barat,F,Konstruksi,1013041230248,2026-03
Nusa Tenggara Barat,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,12007374658937,2026-03
Nusa Tenggara Barat,H,Transportasi dan Pergudangan,416550536320,2026-03
Nusa Tenggara Barat,I,Penyediaan Akomodasi dan Makan Minum,1269218942943,2026-03
Nusa Tenggara Barat,J,Informasi dan Komunikasi,27034001422,2026-03
Nusa Tenggara Barat,K,Jasa Keuangan dan Asuransi,562773031361,2026-03
Nusa Tenggara Barat,L,Real Estat,356458724093,2026-03
Nusa Tenggara Barat,MN,Jasa Perusahaan,237582097244,2026-03
Nusa Tenggara Barat,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",600000000,2026-03
Nusa Tenggara Barat,P,Jasa Pendidikan,105535316939,2026-03
Nusa Tenggara Barat,Q,Jasa Kesehatan dan Kegiatan Sosial,260385099194,2026-03
Nusa Tenggara Barat,RSTU,Jasa Lainnya,979442561088,2026-03
Nusa Tenggara Barat,RT,Rumah Tangga (konsumsi),33850864642118,2026-03
Nusa Tenggara Timur,A,"Pertanian, Kehutanan, dan Perikanan",2487577291122,2026-03
Nusa Tenggara Timur,B,Pertambangan dan Penggalian,84713091211,2026-03
Nusa Tenggara Timur,C,Industri Pengolahan,877957574825,2026-03
Nusa Tenggara Timur,D,Pengadaan Listrik dan Gas,29559346755,2026-03
Nusa Tenggara Timur,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",19136443946,2026-03
Nusa Tenggara Timur,F,Konstruksi,694581421453,2026-03
Nusa Tenggara Timur,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,10328845643076,2026-03
Nusa Tenggara Timur,H,Transportasi dan Pergudangan,443756413877,2026-03
Nusa Tenggara Timur,I,Penyediaan Akomodasi dan Makan Minum,867620299185,2026-03
Nusa Tenggara Timur,J,Informasi dan Komunikasi,12103755976,2026-03
Nusa Tenggara Timur,K,Jasa Keuangan dan Asuransi,190115824277,2026-03
Nusa Tenggara Timur,L,Real Estat,147878836430,2026-03
Nusa Tenggara Timur,MN,Jasa Perusahaan,208394971674,2026-03
Nusa Tenggara Timur,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",219992805,2026-03
Nusa Tenggara Timur,P,Jasa Pendidikan,49097838489,2026-03
Nusa Tenggara Timur,Q,Jasa Kesehatan dan Kegiatan Sosial,132074610273,2026-03
Nusa Tenggara Timur,RSTU,Jasa Lainnya,901753845120,2026-03
Nusa Tenggara Timur,RT,Rumah Tangga (konsumsi),28981418360896,2026-03
Papua,A,"Pertanian, Kehutanan, dan Perikanan",3251036924337,2026-03
Papua,B,Pertambangan dan Penggalian,12353413037,2026-03
Papua,C,Industri Pengolahan,536676090879,2026-03
Papua,D,Pengadaan Listrik dan Gas,28205384239,2026-03
Papua,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",22435186244,2026-03
Papua,F,Konstruksi,2215330488372,2026-03
Papua,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,7589614577233,2026-03
Papua,H,Transportasi dan Pergudangan,1637417718813,2026-03
Papua,I,Penyediaan Akomodasi dan Makan Minum,1117392484677,2026-03
Papua,J,Informasi dan Komunikasi,50515159969,2026-03
Papua,K,Jasa Keuangan dan Asuransi,15463015127,2026-03
Papua,L,Real Estat,268364094894,2026-03
Papua,MN,Jasa Perusahaan,547743513006,2026-03
Papua,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",208735887892,2026-03
Papua,P,Jasa Pendidikan,17685046113,2026-03
Papua,Q,Jasa Kesehatan dan Kegiatan Sosial,88105398900,2026-03
Papua,RSTU,Jasa Lainnya,601422658095,2026-03
Papua,RT,Rumah Tangga (konsumsi),24970418842753,2026-03
Papua Barat,A,"Pertanian, Kehutanan, dan Perikanan",1666927162641,2026-03
Papua Barat,B,Pertambangan dan Penggalian,15636632719,2026-03
Papua Barat,C,Industri Pengolahan,174551845579,2026-03
Papua Barat,D,Pengadaan Listrik dan Gas,13670844782,2026-03
Papua Barat,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",9777929761,2026-03
Papua Barat,F,Konstruksi,427022894718,2026-03
Papua Barat,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,3067384141914,2026-03
Papua Barat,H,Transportasi dan Pergudangan,374010408795,2026-03
Papua Barat,I,Penyediaan Akomodasi dan Makan Minum,503646915233,2026-03
Papua Barat,J,Informasi dan Komunikasi,10060361432,2026-03
Papua Barat,K,Jasa Keuangan dan Asuransi,30435452107,2026-03
Papua Barat,L,Real Estat,106357643079,2026-03
Papua Barat,MN,Jasa Perusahaan,213033594245,2026-03
Papua Barat,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",156248632306,2026-03
Papua Barat,P,Jasa Pendidikan,13180167506,2026-03
Papua Barat,Q,Jasa Kesehatan dan Kegiatan Sosial,19967396407,2026-03
Papua Barat,RSTU,Jasa Lainnya,440774273033,2026-03
Papua Barat,RT,Rumah Tangga (konsumsi),12143023311588,2026-03
Riau,A,"Pertanian, Kehutanan, dan Perikanan",26389769150374,2026-03
Riau,B,Pertambangan dan Penggalian,282379774314,2026-03
Riau,C,Industri Pengolahan,13048688042734,2026-03
Riau,D,Pengadaan Listrik dan Gas,55719453254,2026-03
Riau,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",88399117186,2026-03
Riau,F,Konstruksi,2791170421401,2026-03
Riau,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,13370240227780,2026-03
Riau,H,Transportasi dan Pergudangan,3455041838547,2026-03
Riau,I,Penyediaan Akomodasi dan Makan Minum,2060942755088,2026-03
Riau,J,Informasi dan Komunikasi,64362605618,2026-03
Riau,K,Jasa Keuangan dan Asuransi,550822205086,2026-03
Riau,L,Real Estat,576664970292,2026-03
Riau,MN,Jasa Perusahaan,2836994556163,2026-03
Riau,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",50000000000,2026-03
Riau,P,Jasa Pendidikan,162149108308,2026-03
Riau,Q,Jasa Kesehatan dan Kegiatan Sosial,1645098605908,2026-03
Riau,RSTU,Jasa Lainnya,1724357727969,2026-03
Riau,RT,Rumah Tangga (konsumsi),41063692821887,2026-03
Sulawesi Barat,A,"Pertanian, Kehutanan, dan Perikanan",2572742972443,2026-03
Sulawesi Barat,B,Pertambangan dan Penggalian,12309990852,2026-03
Sulawesi Barat,C,Industri Pengolahan,239995094725,2026-03
Sulawesi Barat,D,Pengadaan Listrik dan Gas,21646803154,2026-03
Sulawesi Barat,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",4761880935,2026-03
Sulawesi Barat,F,Konstruksi,105294035669,2026-03
Sulawesi Barat,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,2169405363317,2026-03
Sulawesi Barat,H,Transportasi dan Pergudangan,38083339287,2026-03
Sulawesi Barat,I,Penyediaan Akomodasi dan Makan Minum,115415958317,2026-03
Sulawesi Barat,J,Informasi dan Komunikasi,3473887592,2026-03
Sulawesi Barat,K,Jasa Keuangan dan Asuransi,5141230819,2026-03
Sulawesi Barat,L,Real Estat,20195490350,2026-03
Sulawesi Barat,MN,Jasa Perusahaan,34328893282,2026-03
Sulawesi Barat,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",22096606257,2026-03
Sulawesi Barat,P,Jasa Pendidikan,1132942792,2026-03
Sulawesi Barat,Q,Jasa Kesehatan dan Kegiatan Sosial,29481875794,2026-03
Sulawesi Barat,RSTU,Jasa Lainnya,267206497833,2026-03
Sulawesi Barat,RT,Rumah Tangga (konsumsi),7315844096262,2026-03
Sulawesi Selatan,A,"Pertanian, Kehutanan, dan Perikanan",17937957015936,2026-03
Sulawesi Selatan,B,Pertambangan dan Penggalian,2085852146046,2026-03
Sulawesi Selatan,C,Industri Pengolahan,8172819301083,2026-03
Sulawesi Selatan,D,Pengadaan Listrik dan Gas,3234942054006,2026-03
Sulawesi Selatan,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",67407219904,2026-03
Sulawesi Selatan,F,Konstruksi,5051176236926,2026-03
Sulawesi Selatan,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,38258443793443,2026-03
Sulawesi Selatan,H,Transportasi dan Pergudangan,2787477375155,2026-03
Sulawesi Selatan,I,Penyediaan Akomodasi dan Makan Minum,3527271376363,2026-03
Sulawesi Selatan,J,Informasi dan Komunikasi,174747945650,2026-03
Sulawesi Selatan,K,Jasa Keuangan dan Asuransi,1934577925181,2026-03
Sulawesi Selatan,L,Real Estat,1824748791928,2026-03
Sulawesi Selatan,MN,Jasa Perusahaan,2501675510962,2026-03
Sulawesi Selatan,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",3256044076,2026-03
Sulawesi Selatan,P,Jasa Pendidikan,596194633654,2026-03
Sulawesi Selatan,Q,Jasa Kesehatan dan Kegiatan Sosial,747161043188,2026-03
Sulawesi Selatan,RSTU,Jasa Lainnya,3671906485014,2026-03
Sulawesi Selatan,RT,Rumah Tangga (konsumsi),79640896739298,2026-03
Sulawesi Tengah,A,"Pertanian, Kehutanan, dan Perikanan",6187302788852,2026-03
Sulawesi Tengah,B,Pertambangan dan Penggalian,5706888802366,2026-03
Sulawesi Tengah,C,Industri Pengolahan,8959940734993,2026-03
Sulawesi Tengah,D,Pengadaan Listrik dan Gas,37197858282,2026-03
Sulawesi Tengah,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",10808199350,2026-03
Sulawesi Tengah,F,Konstruksi,762858705555,2026-03
Sulawesi Tengah,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,8822501387690,2026-03
Sulawesi Tengah,H,Transportasi dan Pergudangan,772212361119,2026-03
Sulawesi Tengah,I,Penyediaan Akomodasi dan Makan Minum,797225921415,2026-03
Sulawesi Tengah,J,Informasi dan Komunikasi,30385592577,2026-03
Sulawesi Tengah,K,Jasa Keuangan dan Asuransi,27983375538,2026-03
Sulawesi Tengah,L,Real Estat,235117936392,2026-03
Sulawesi Tengah,MN,Jasa Perusahaan,664017360662,2026-03
Sulawesi Tengah,P,Jasa Pendidikan,32654497918,2026-03
Sulawesi Tengah,Q,Jasa Kesehatan dan Kegiatan Sosial,48178014015,2026-03
Sulawesi Tengah,RSTU,Jasa Lainnya,763343854077,2026-03
Sulawesi Tengah,RT,Rumah Tangga (konsumsi),26041072872872,2026-03
Sulawesi Tenggara,A,"Pertanian, Kehutanan, dan Perikanan",4469486036277,2026-03
Sulawesi Tenggara,B,Pertambangan dan Penggalian,1696121701519,2026-03
Sulawesi Tenggara,C,Industri Pengolahan,699676197465,2026-03
Sulawesi Tenggara,D,Pengadaan Listrik dan Gas,3029568000,2026-03
Sulawesi Tenggara,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",16571830224,2026-03
Sulawesi Tenggara,F,Konstruksi,522360456019,2026-03
Sulawesi Tenggara,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,7320854726948,2026-03
Sulawesi Tenggara,H,Transportasi dan Pergudangan,462636742184,2026-03
Sulawesi Tenggara,I,Penyediaan Akomodasi dan Makan Minum,646033158943,2026-03
Sulawesi Tenggara,J,Informasi dan Komunikasi,19674889215,2026-03
Sulawesi Tenggara,K,Jasa Keuangan dan Asuransi,4126674819,2026-03
Sulawesi Tenggara,L,Real Estat,154892203376,2026-03
Sulawesi Tenggara,MN,Jasa Perusahaan,1030760463338,2026-03
Sulawesi Tenggara,P,Jasa Pendidikan,28966283864,2026-03
Sulawesi Tenggara,Q,Jasa Kesehatan dan Kegiatan Sosial,42102678737,2026-03
Sulawesi Tenggara,RSTU,Jasa Lainnya,1017092458289,2026-03
Sulawesi Tenggara,RT,Rumah Tangga (konsumsi),24254853364225,2026-03
Sulawesi Utara,A,"Pertanian, Kehutanan, dan Perikanan",2321766854731,2026-03
Sulawesi Utara,B,Pertambangan dan Penggalian,5844446545248,2026-03
Sulawesi Utara,C,Industri Pengolahan,886986578404,2026-03
Sulawesi Utara,D,Pengadaan Listrik dan Gas,52343577148,2026-03
Sulawesi Utara,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",12832981764,2026-03
Sulawesi Utara,F,Konstruksi,1502494423231,2026-03
Sulawesi Utara,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,8111851706599,2026-03
Sulawesi Utara,H,Transportasi dan Pergudangan,392344131769,2026-03
Sulawesi Utara,I,Penyediaan Akomodasi dan Makan Minum,980506881314,2026-03
Sulawesi Utara,J,Informasi dan Komunikasi,31227279000,2026-03
Sulawesi Utara,K,Jasa Keuangan dan Asuransi,145108435900,2026-03
Sulawesi Utara,L,Real Estat,396503196615,2026-03
Sulawesi Utara,MN,Jasa Perusahaan,951121911660,2026-03
Sulawesi Utara,P,Jasa Pendidikan,49055391318,2026-03
Sulawesi Utara,Q,Jasa Kesehatan dan Kegiatan Sosial,135307426727,2026-03
Sulawesi Utara,RSTU,Jasa Lainnya,785935015283,2026-03
Sulawesi Utara,RT,Rumah Tangga (konsumsi),32720507685307,2026-03
Sumatera Barat,A,"Pertanian, Kehutanan, dan Perikanan",13177254439803,2026-03
Sumatera Barat,B,Pertambangan dan Penggalian,144750027695,2026-03
Sumatera Barat,C,Industri Pengolahan,2410797456908,2026-03
Sumatera Barat,D,Pengadaan Listrik dan Gas,87618514278,2026-03
Sumatera Barat,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",35006132326,2026-03
Sumatera Barat,F,Konstruksi,907245131993,2026-03
Sumatera Barat,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,15780296588014,2026-03
Sumatera Barat,H,Transportasi dan Pergudangan,1051138359547,2026-03
Sumatera Barat,I,Penyediaan Akomodasi dan Makan Minum,1167774301776,2026-03
Sumatera Barat,J,Informasi dan Komunikasi,29119228068,2026-03
Sumatera Barat,K,Jasa Keuangan dan Asuransi,69587982566,2026-03
Sumatera Barat,L,Real Estat,230657731611,2026-03
Sumatera Barat,MN,Jasa Perusahaan,1253800347837,2026-03
Sumatera Barat,P,Jasa Pendidikan,286873568017,2026-03
Sumatera Barat,Q,Jasa Kesehatan dan Kegiatan Sosial,446727937058,2026-03
Sumatera Barat,RSTU,Jasa Lainnya,1359777411581,2026-03
Sumatera Barat,RT,Rumah Tangga (konsumsi),34803139630820,2026-03
Sumatera Selatan,A,"Pertanian, Kehutanan, dan Perikanan",21758071982950,2026-03
Sumatera Selatan,B,Pertambangan dan Penggalian,1995605502117,2026-03
Sumatera Selatan,C,Industri Pengolahan,15196388131053,2026-03
Sumatera Selatan,D,Pengadaan Listrik dan Gas,144776441066,2026-03
Sumatera Selatan,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",210865041608,2026-03
Sumatera Selatan,F,Konstruksi,3662985979447,2026-03
Sumatera Selatan,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,18489368125177,2026-03
Sumatera Selatan,H,Transportasi dan Pergudangan,2428709031263,2026-03
Sumatera Selatan,I,Penyediaan Akomodasi dan Makan Minum,2066039924751,2026-03
Sumatera Selatan,J,Informasi dan Komunikasi,55589876521,2026-03
Sumatera Selatan,K,Jasa Keuangan dan Asuransi,120007959010,2026-03
Sumatera Selatan,L,Real Estat,2220137391963,2026-03
Sumatera Selatan,MN,Jasa Perusahaan,1614277619314,2026-03
Sumatera Selatan,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",636872528,2026-03
Sumatera Selatan,P,Jasa Pendidikan,359387050628,2026-03
Sumatera Selatan,Q,Jasa Kesehatan dan Kegiatan Sosial,541047542616,2026-03
Sumatera Selatan,RSTU,Jasa Lainnya,1353895244463,2026-03
Sumatera Selatan,RT,Rumah Tangga (konsumsi),54575928030242,2026-03
Sumatera Utara,A,"Pertanian, Kehutanan, dan Perikanan",52292306180224,2026-03
Sumatera Utara,B,Pertambangan dan Penggalian,565959509171,2026-03
Sumatera Utara,C,Industri Pengolahan,78276063673609,2026-03
Sumatera Utara,D,Pengadaan Listrik dan Gas,531304966118,2026-03
Sumatera Utara,E,"Pengadaan Air, Pengelolaan Sampah, Limbah & Daur Ulang",254215083411,2026-03
Sumatera Utara,F,Konstruksi,6933957381895,2026-03
Sumatera Utara,G,Perdagangan Besar & Eceran; Reparasi Mobil & Sepeda Motor,48304389383421,2026-03
Sumatera Utara,H,Transportasi dan Pergudangan,4371348581088,2026-03
Sumatera Utara,I,Penyediaan Akomodasi dan Makan Minum,3024014123773,2026-03
Sumatera Utara,J,Informasi dan Komunikasi,153889304540,2026-03
Sumatera Utara,K,Jasa Keuangan dan Asuransi,1883197527648,2026-03
Sumatera Utara,L,Real Estat,4093417532670,2026-03
Sumatera Utara,MN,Jasa Perusahaan,2424347100660,2026-03
Sumatera Utara,O,"Administrasi Pemerintahan, Pertahanan & Jaminan Sosial",6815326741,2026-03
Sumatera Utara,P,Jasa Pendidikan,664955892244,2026-03
Sumatera Utara,Q,Jasa Kesehatan dan Kegiatan Sosial,3110362026524,2026-03
Sumatera Utara,RSTU,Jasa Lainnya,4724784772799,2026-03
Sumatera Utara,RT,Rumah Tangga (konsumsi),84514697878784,2026-03
